VehicleSpawn(10, 901.279114, 223.050598, -2010.845093, 0.004168, 0.143564, -0.002223, 0.989630, Ingame, NULL)
VehicleSpawn(49, 897.307617, 223.154327, -2043.353149, -0.003190, -0.727052, -0.003988, 0.686563, NULL, NULL)
VehicleSpawn(80, 808.935608, 200.138184, -2012.734253, -0.007097, 0.626223, -0.000986, 0.779611, NULL, NULL)
VehicleSpawn(87, 1024.579834, 207.821671, -1887.613403, -0.014365, 0.588004, -0.008530, 0.808685, Cab, NULL)
VehicleSpawn(6, 850.442688, 199.798798, -1788.708984, 0.009742, 0.662468, 0.010425, 0.748954, NULL, NULL)
VehicleSpawn(25, 912.052185, 199.404678, -1665.296875, 0.000315, 0.998538, 0.004798, 0.053832, Cab, NULL)
VehicleSpawn(22, 1034.205444, 200.810654, -1812.274048, -0.005553, 0.999831, 0.007537, 0.015806, NULL, NULL)
VehicleSpawn(22, 1091.353638, 200.611237, -1571.131348, -0.012387, -0.641543, 0.007282, 0.766953, NULL, NULL)
VehicleSpawn(73, 1143.678955, 200.699417, -1630.397217, 0.004947, 0.711485, -0.003612, 0.702675, NULL, NULL)
VehicleSpawn(73, 983.289429, 200.707031, -1684.331299, 0.004122, -0.015512, 0.000039, 0.999871, NULL, NULL)
VehicleSpawn(74, 1051.972168, 200.926254, -1663.374023, 0.001133, 0.999965, 0.004845, -0.006691, NULL, NULL)
VehicleSpawn(7, 1131.670532, 200.732040, -1709.528809, -0.000379, 0.001975, -0.000025, 0.999998, FullyUpgraded, NULL)
VehicleSpawn(67, 1004.194336, 208.267181, -1764.748291, 0.000112, 0.700977, -0.000366, 0.713183, NULL, NULL)
VehicleSpawn(23, 1045.428101, 207.088425, -1472.566650, -0.003439, 0.883813, -0.050437, 0.465101, NULL, NULL)
VehicleSpawn(5, 978.264160, 199.968475, -1425.917725, -0.001871, 0.786459, 0.010297, 0.617553, Fishing, NULL)
VehicleSpawn(22, 1143.426270, 216.440628, -1396.029297, -0.023832, -0.407693, 0.011209, 0.912739, NULL, NULL)
VehicleSpawn(22, 1127.752686, 218.096405, -1351.833740, -0.042896, -0.409832, 0.006501, 0.911129, NULL, NULL)
VehicleSpawn(63, 1110.199219, 217.246765, -1380.858276, -0.015312, -0.427905, 0.023566, 0.903387, NULL, NULL)
VehicleSpawn(63, 1210.291138, 208.126907, -1159.198486, 0.001722, 0.947397, -0.006664, 0.319988, NULL, NULL)
VehicleSpawn(22, 1281.226929, 210.074707, -1144.133545, -0.065807, 0.989564, 0.003117, 0.128154, NULL, NULL)
VehicleSpawn(22, 1246.664917, 205.399445, -1073.748779, -0.002424, 0.787466, 0.001850, 0.616350, NULL, NULL)
VehicleSpawn(22, 1255.361206, 205.402832, -1048.209839, -0.001470, 0.795240, 0.000673, 0.606293, NULL, NULL)
VehicleSpawn(13, 1130.365601, 200.974945, -990.535339, -0.003210, 0.020245, 0.000124, 0.999790, NULL, NULL)
