L:J-International Airport, -6917.526367, 209.045651, -2993.088867, -1.557750, 0.000328, -0.000013
L:P-International Airport, -6469.900879, 208.970813, -3106.025391, -0.788359, 0.013981, -0.001308
L:G-International Airport, -6748.115723, 220.224893, -3594.007812, -0.341135, 0.005483, 0.007272
L:G-Pekan Hutan Lama, -6909.710449, 206.393344, -2106.221191, 2.535329, 0.010767, -0.000001
L:H-International Airport, -6231.562500, 216.140121, -3547.158691, -0.756717, 0.000108, -0.000003
L:G-Kampung Ketam Laut, -7858.231445, 207.467883, -2245.833252, 0.369627, 0.010928, -0.000418
L:W-Kampung Ketam Laut, -7984.856445, 200.075574, -2229.810303, 1.812183, -0.009739, -0.041448
L:G-Outer District Gas East, -8143.361328, 236.505496, -809.376404, -1.817212, 0.010767, -0.000001
L:G-Outer District Secret Valley, -8848.166016, 261.982135, -1527.348999, -1.326104, 0.031651, -0.009232
L:G-Outer District Gas West, -10607.279297, 239.859630, -539.968933, -0.417834, 0.010767, -0.000000
L:G-Outer District Monument, -10899.631836, 239.093972, -689.587097, 3.096064, -0.000684, -0.012430
L:G-Outer District Gas North, -8841.356445, 265.241968, -3454.848389, -1.538757, 0.010767, -0.000007
L:H-Bandar Selekeh, -7182.208984, 221.212134, -4747.201660, -2.361220, 0.026804, 0.004942
L:W-Pulau Penjala, -5007.367676, 200.085712, -3894.889648, 2.229723, -0.010331, 0.000902
L:H-Pulau Penjala, -4926.874023, 202.645996, -3951.101074, -2.302706, -0.011862, 0.002351
L:H-Pelantar Gas Telok Panau, -4858.590820, 259.704620, -1397.708252, -1.267751, 0.010322, -0.000155
L:W-Pelantar Gas Telok Panau, -4902.750000, 200.093997, -1430.711426, -1.245100, -0.010019, 0.000627
L:H-Three Windmills Island, -5069.100586, 211.513535, -379.796600, 1.747465, -0.048609, 0.014545
L:H-Kampung Anjing Gila, -5816.416016, 211.074857, 698.587524, 2.577834, 0.010718, -0.000390
L:W-Kampung Anjing Gila, -5961.194824, 200.089740, 584.739075, 1.021658, -0.010214, 0.000866
L:H-Scuttlebutt Island, -14112.720703, 213.855301, 412.513885, 1.835672, 0.028819, 0.016680
L:H-Banana Island, -14818.192383, 207.633484, -663.294128, -1.633307, -0.013340, -0.134797
L:O-Residential District Beach, -12032.862305, 202.586273, 29.192657, 1.905827, -0.005957, 0.000003
L:W-Residential District Beach, -12025.334961, 200.092105, 86.565796, 1.928044, -0.010156, 0.000854
L:O-Residential District S Overlook, -12774.138672, 303.430115, -264.635834, -0.238946, -0.005952, -0.000002
L:O-Residential District N Overlook, -12851.058594, 313.702179, -1774.770508, 2.070682, -0.005596, -0.000494
L:H-Residential District Hospital, -12814.376953, 300.550818, -1106.392090, 0.174006, 0.019205, -0.000418
L:G-Residential District Hospital, -12858.373047, 203.056552, -1122.957275, 2.566170, 0.010769, -0.000001
L:H-Residential District Doubletowers, -13211.281250, 370.215454, -898.255615, 1.989741, -0.019396, -0.000462
